,text,intent
45,do you have a flight leaving boston at 645 am going to washington,1
46,what are all the flights into atlanta's airport,1
47,show me the flights from atlanta to denver on friday,1
48,what does fare code qx mean,1
49,i would like information on twa flights from washington to philadelphia,1
50,which airlines fly from boston to washington dc but stopover in some other city,1
51,ground transportation in oakland,1
52,list all afternoon flights on united airlines from san francisco to denver,1
53,show me all flights from san francisco to pittsburgh on a monday,1
54,what is the latest flight leaving boston to denver,1
55,okay i would like to know the type of aircraft used on a flight from cleveland to dallas please,1
56,please show me the flights from las vegas to detroit on the twenty eighth,1
57,what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma,1
58,i'd like to take a flight that begins in boston and lands at dallas fort worth but i'd like to stop over in philadelphia,1
59,give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee,1
60,american airlines from denver to milwaukee,1
61,what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington,1
62,i need a return flight from philadelphia to boston,1
63,northwest flights with stops in denver,1
64,what is the first class fare from baltimore to dallas,1
65,could you please tell me the airlines that fly from toronto to san diego,1
66,what is the earliest flight from memphis to cincinnati on june thirtieth,1
67,show me the nonstop flights from dallas to houston,1
68,show me economy fares from dallas to baltimore,1
69,i would like a flight on continental airlines on august twentieth from washington to pittsburgh,1
70,do you have a flight on wednesday from denver to washington dc nonstop,1
71,what is ewr,1
72,i want to fly boston to san francisco,1
73,what flight leaves dallas for atlanta on august twenty seventh in the evening,1
74,wednesday morning flights between baltimore and newark,1
75,show me flights from dallas to pittsburgh,1
76,what flights are there arriving in chicago on continental after 11 pm,1
77,what is the lowest cost fare that delta has between boston and san francisco,1
78,i'd like to go from boston to san francisco,1
79,round trip air fares from pittsburgh to philadelphia less than 1000 dollars,1
80,does any airline have a jet flight between pittsburgh and baltimore,1
81,what is mco,1
82,show me the flights from newark new jersey to ontario international next saturday,1
83,i want to fly from dallas fort worth to philadelphia,1
84,show me flights between new york city and las vegas,1
85,how long does it take to get from atlanta airport into the city of atlanta,1
86,show me all first class prices from dallas to baltimore,1
87,is there a flight between san francisco and boston with a stopover in dallas fort worth,1
88,show me ground transportation information for san francisco,1
89,need an inexpensive flight from baltimore to san francisco,1
90,find the earliest flight from boston to oakland that serves breakfast,1
91,i'd like to fly from philadelphia to dallas to san francisco,1
92,show me all the direct flights from atlanta to baltimore,1
93,latest flight from houston to san jose,1
94,what're the flights from new york city to las vegas that arrive on a sunday,1
95,i would like to fly united airlines from washington dc to denver colorado,1
96,okay i need to see economy flights on united between dallas and baltimore,1
97,please show me flights from pittsburgh to atlanta on wednesday morning serving breakfast,1
98,i need information for flights leaving baltimore and arriving in atlanta,1
99,show me all flights from san francisco to pittsburgh which arrive in pittsburgh before 9 o'clock am tomorrow,1
100,show me the fares from dallas to san francisco,1
101,please give me flights available from baltimore to philadelphia,1
102,what are the flights on january first 1992 from boston to san francisco,1
103,flights from denver to baltimore between 10 am and 2 pm,1
104,what ground transportation is there in atlanta,1
105,list nonstop flights from baltimore washington to oakland that arrive between 445 and 515 pm,1
106,show flights from baltimore to san francisco between 6 pm and 8 pm on friday,1
107,i want to fly from denver to san francisco,1
108,coach fares only weekdays for denver to boston,1
109,what are the coach fares for flights from newark to la leaving after 3 pm,1
110,from philadelphia to toronto,1
111,i would like a nonstop flight from philadelphia to pittsburgh,1
112,what are my choices of flights leaving early afternoon from minneapolis to indianapolis,1
113,what is the cheapest flight flying from boston to atlanta before 8,1
114,list possible round trip daily flights between boston and oakland,1
115,please give me round trip fares from baltimore to philadelphia,1
116,find a flight from long beach to st. louis stopping in dallas,1
117,please list the flights from st. paul to kansas city on friday night that serve meals,1
118,what is lowest cost air fare available for a flight from dallas to baltimore arriving on july fourth,1
119,can you show me the flights from baltimore to dallas,1
120,i need flight information on saturday for a flight from philadelphia to dallas,1
121,show me the flights from denver that go to pittsburgh and then atlanta,1
122,what is the earliest flight you have leaving boston heading to philadelphia,1
123,what are the least expensive flights from denver to atlanta,1
124,what kind of ground transportation is there once i get to dallas,1
125,show me the flights that go from atlanta to washington on thursday mornings,1
126,find a flight on delta from philadelphia to san francisco,1
127,do you have any flights from boston to dallas fort worth that stop over in philadelphia,1
128,what is ff,1
129,show all nonstop flights from boston to san francisco,1
130,what kind of ground transportation is available in denver,1
131,i would like to travel from indianapolis to houston,1
132,find travel arrangements for a round trip flight from boston to pittsburgh,1
133,please list the tuesday flights from atlanta to st. louis,1
134,show me all flights from atlanta to san francisco,1
135,what is the cheapest fare i can get from dallas to denver,1
136,what is the latest flight from salt lake city to st. petersburg,1
137,chicago to san francisco on continental,1
138,could you show me all the flights from oakland to salt lake city,1
139,what cities are served by canadian airlines international,1
140,san francisco to philadelphia please,1
141,flights from nashville to seattle,1
142,what flights are available friday afternoon from philadelphia to oakland california,1
143,tell me about flights from toronto to salt lake city leaving toronto between 530 and 7 pm,1
144,what kinds of ground transportation is available in dallas fort worth,1
145,requesting flight information from boston to denver on wednesday,1
146,can you list all flights departing from toronto and landing in san diego with a stopover in denver,1
147,all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,1
148,list flights from phoenix to detroit on wednesday,1
149,what is the distance between pittsburgh airport and downtown pittsburgh,1
150,show me the flights from love field to any other airport,1
151,find a flight from charlotte to las vegas that stop in st. louis that serve dinner and i want to find the airline for this flight,1
152,list all flights from washington dc to tampa florida,1
153,can you tell me the cheapest one way fare from boston to san francisco,1
154,what airlines are there,1
155,i would like a flight between denver and san francisco leaving from denver in the afternoon and arriving at 5 pm it must be a nonstop flight,1
156,is there an airline that advertises having more flights than any other airline,1
157,phoenix to denver,1
158,what is the lowest fare from denver to atlanta,1
159,all flights from boston to washington dc on november eleventh,1
160,flight from nashville to cleveland,1
161,i would like to see the flights from baltimore to philadelphia please,1
162,i want a flight on twa from boston to denver,1
163,can you list flights from boston to washington with the lowest one way fares that leave on saturday,1
164,give me flights that arrive in baltimore from atlanta denver and pittsburgh,1
165,all flights leaving washington dc to san francisco that are first class,1
166,i need a flight from baltimore to seattle,1
167,what are the ground transportation services in philadelphia,1
168,what does fare code qo mean,1
169,ground transportation washington,1
170,show me the latest flight to love field,1
171,what airlines fly between boston and atlanta,1
172,what is american's last flight from boston to washington dc on july twenty first,1
173,show flights from boston to denver on wednesday morning,1
174,show me all flights from philadelphia to boston on monday which serve a meal and arrive before noon,1
175,list all daily flights between boston and oakland and between oakland and boston using delta airlines,1
176,i need a flight from ontario to los angeles on a thursday,1
177,what are the fares from dallas to san francisco on flight dl 217,1
178,what are the flights from montreal to chicago,1
179,list daily flights of united airline from denver to baltimore with first class service,1
180,is there ground transportation from the atlanta airport to downtown atlanta,1
181,please show me early morning flights from atlanta to philadelphia on wednesday,1
182,what flights from baltimore to san francisco arrive before 8 pm in san francisco,1
183,okay could you get me a round trip ticket from indianapolis to kansas city,1
184,show me the flights from miami to denver,1
185,what is the earliest flight flying from pittsburgh to atlanta on july fifth,1
186,find a flight between denver and oakland the flight should leave in the afternoon and arrive near 5 pm the flight should also be nonstop,1
187,what ground transportation is available in newark,1
188,i want a flight from philadelphia to dallas with a stop in atlanta,1
189,i need information on flights from kansas city missouri to salt lake city utah i am interested in only those flights on delta airlines,1
190,when is the first flight leaving from oakland to boston,1
191,flights from phoenix to las vegas,1
192,tell me about flights leaving from atlanta and going to charlotte north carolina next monday i need to know about flights that arrive in charlotte between 415 and 530 pm,1
193,show me delta flights from dallas to denver,1
194,in denver what kind of ground transportation is there from the airport to downtown,1
195,give me a flight from philadelphia to denver on sunday,1
196,show me all fares between philadelphia and san francisco that are less than 200 dollars one way,1
197,explain meal codes sd d,1
198,i want the flights from denver to pittsburgh,1
199,what are all flights from boston to denver,1
200,show me the cheapest fare from dallas to baltimore,1
201,i'm trying to fly from denver to boston and i want a flight that serves a meal,1
202,what's the cheapest fare from san francisco to baltimore,1
203,list the round trip flights from st. paul to san jose,1
204,what's the earliest flight i can get between boston and dallas,1
205,i'd like to know what type of plane flies from boston to dallas fort worth after 530,1
206,could you please show me all the weekday flights between denver and dallas,1
207,i'd like to fly from columbus to nashville tomorrow morning,1
208,which of the flights from pittsburgh to baltimore on july twenty fifth 1991 carries the smallest number of passengers,1
209,show me all flights from new york to miami leaving on a tuesday and show me all flights from miami to new york leaving on sunday,1
210,list the takeoffs and landings at general mitchell international,1
211,can you give me a list of the flights from atlanta to boston,1
212,show me the first class fares from baltimore to dallas,1
213,flight information from denver to san francisco,1
214,can you tell me how to get from the airport in philadelphia to downtown,1
215,flights from baltimore to philadelphia please,1
216,show me the flights from los angeles to pittsburgh which arrive at pittsburgh on monday,1
217,what are the flights dallas to boston on monday morning,1
218,i'd like to book an flight on american airlines from boston to san francisco with one stop in pittsburgh,1
219,shortest flight from ontario california to orlando florida,1
220,flights between new york and miami,1
221,show me city served both by nationair and canadian airlines international,1
222,what flights go from pittsburgh to newark after 823 in the morning,1
223,show me all flights from san francisco to la guardia nonstop,1
224,list all daily flights between boston and oakland as well as boston and oakland using american airline,1
225,show me about the ground transportation in boston,1
226,please tell me how many nonstop flights there are from boston to atlanta,1
227,list the flights from philadelphia to dallas on american airlines,1
228,show me the fares for delta flights from dallas to san francisco,1
229,what type of aircraft are used on flights from cleveland to dallas that leave before noon,1
230,do you have a night flight from washington to boston on august twenty seventh,1
231,what nonstop flights are available from oakland to pittsburgh,1
232,are there any flights next monday morning from pittsburgh to san francisco,1
233,please show me the return flights from miami to new york,1
234,ground transportation in baltimore,1
235,show me flights from denver to atlanta on june sixteenth,1
236,show me the cheapest flights from san francisco to boston,1
237,what are the rental car rates in san francisco,1
238,explain fare code qx,1
239,i would like to fly from pittsburgh to san francisco,1
240,i'm trying to find a flight from columbus to phoenix through cincinnati,1
241,show me the flights from salt lake city to st. petersburg on wednesday,1
242,show me all ground transportation in washington dc,1
243,i'd like a ticket from denver to atlanta with a stopover in pittsburgh is this possible,1
244,show me the airlines that fly from san francisco to boston,1
245,do you have a flight from atlanta to baltimore nonstop on a boeing 757 arriving baltimore around 7 pm,1
246,show me flights available from atlanta to baltimore leaving on monday morning,1
247,can you list all flights from toronto to san diego,1
248,please give me direct morning flights from pittsburgh to atlanta,1
249,is there limousine service available at baltimore airport,1
250,show me the flights from toronto to salt lake city which leave toronto after 6 pm,1
251,can i get a rental car in dallas,1
252,i need a listing of flights from new york city to montreal canada departing thursday in the morning,1
253,i'd like to find the cheapest one way fare from baltimore to denver,1
254,show me flights from baltimore to philadelphia please,1
255,how much does the american airlines flight 71 from dallas to san francisco cost,1
256,what is the earliest flight arriving in charlotte from st. louis on friday,1
257,show me the cheapest flights round trip from new york to san jose,1
258,first class round trip airfare from indianapolis to memphis,1
259,tell me about ground transportation at san francisco,1
260,show flights from denver to oakland that arrive after 12 o'clock,1
261,please list the flights from dallas fort worth to dc baltimore on july twenty third,1
262,i want to fly from philadelphia to dallas to san francisco on monday july eighth,1
263,how many nonstop flights going from dallas to oakland july twenty seventh,1
264,show me the flight with the smallest seating capacity which leaves pittsburgh and arrives in baltimore on june fourteenth,1
265,flight from long beach to columbus on twenty seventh,1
266,what are the classes of service for continental airlines,1
267,what is the earliest flight from boston to bwi that serves a snack,1
268,show me flights from washington dc to san francisco with a stopover in denver,1
269,what airlines flies out of atlanta,1
270,list flights from houston to memphis june twenty ninth,1
271,i need a late flight from san francisco to boston on wednesday,1
272,what type of aircraft leaves from boston to washington dc at 9 am,1
273,flights from baltimore to san francisco,1
274,show me all flights that arrive in philadelphia from baltimore denver or pittsburgh,1
275,i'm looking for flights from pittsburgh to philadelphia leaving before 9 am,1
276,what is the distance from boston airport to boston,1
277,i'd like the cheapest one way fare from boston to atlanta please,1
278,show me flights between new york city and las vegas on sunday,1
279,what is the cheapest one way fare from boston to baltimore,1
280,weekday flights from san francisco to denver,1
281,show me the nonstop flights from nashville to st. louis,1
282,i'd like to find a flight from miami florida to las vegas nevada that would arrive before 4 pm on sunday,1
283,show me the lowest price from dallas to baltimore,1
284,i'd like to book the cheapest one way flight from denver to pittsburgh on july fifteenth,1
285,how many flights are there between san francisco and philadelphia on august eighteenth,1
286,please list all available flights from oakland california to philadelphia on wednesday,1
287,how much is a first class ticket from baltimore to san francisco,1
288,list all flights from new york to las vegas that fly nonstop on sunday and list flights from memphis to las vegas that fly nonstop on sunday,1
289,show me the latest flight from las vegas to denver,1
290,i want information on flights from atlanta to washington dc give me information on flights after 4 pm on wednesday,1
291,i need to fly from kansas city to chicago leaving next wednesday and returning the following day,1
292,i need a flight from st. petersburg to miami for thursday,1
293,list the cheapest one way flight from miami florida to charlotte north carolina,1
294,are there any flights on us air from pittsburgh to atlanta on wednesday,1
295,what is the least expensive flight from atlanta to boston,1
296,what are the flights from orlando to kansas city,1
297,show me the flights from baltimore to dallas,1
298,show first flight from boston to philadelphia,1
299,i would like the earliest morning flight from atlanta to philadelphia on wednesday morning,1
300,list types of aircraft that fly between boston and san francisco,1
301,i want to fly from boston to san francisco,1
302,first flights from pittsburgh to atlanta on a thursday,1
303,please list the friday night flights from st. paul to kansas city,1
304,what are the seating capacities of planes between pittsburgh and baltimore,1
305,i need a flight from kansas city to chicago that leaves wednesday and arrives in chicago around 7 pm,1
306,information on ground transportation from airport to downtown boston,1
307,what flights go from newark to boston after 5 pm,1
308,what flights go from boston to pittsburgh after 6 o'clock next tuesday,1
309,i want to fly from boston to baltimore,1
310,i'd like flights on american from philadelphia to dallas arriving before 1145 am,1
311,what is the earliest united airlines flight flying from denver to baltimore and arriving on july fourth,1
312,what flights are available from atlanta to oakland with one way economy fares,1
313,what planes does united use,1
314,show me the flights from denver to las vegas,1
315,list the flights between san jose and houston,1
316,find me flights that are nonstop between boston and dallas,1
317,find the cheapest one way fare from boston to oakland,1
318,i'd like a flight tomorrow from san diego to toronto,1
319,what are the flights from kansas city to burbank on saturday may twenty two on america west,1
320,show me the flights from philadelphia to baltimore,1
321,what are the early weekday flights from san francisco to pittsburgh,1
322,flights from indianapolis to seattle washington,1
323,flights from atlanta to washington dc on thursday morning,1
324,flights from phoenix to las vegas,1
325,now show me the flights from denver to philadelphia on a saturday,1
326,please give me the prices for all flights from philadelphia to denver airport next sunday,1
327,show me the flights from baltimore to boston,1
328,on eastern flight 825 flying from atlanta to denver can you tell me what type of aircraft is used on a flight when it leaves at 555,1
329,what flights from burbank to milwaukee leave burbank tomorrow,1
330,show all airlines flying from pittsburgh to san francisco,1
331,is there ground transportation from the milwaukee airport to the downtown area,1
332,i want to fly from atlanta to philadelphia nonstop,1
333,what is the cheapest flight from washington to san francisco on friday,1
334,could you give me the schedule of flights for american and delta to dfw on august fifteenth,1
335,what is the cost for these flights from baltimore to philadelphia,1
336,i want to travel from philadelphia to san francisco with a stopover in dallas,1
337,show me all flights both direct and connecting from dallas fort worth to either san francisco or oakland that depart after 7 pm,1
338,show me all flights from pittsburgh to dallas,1
339,dallas to san francisco leaving after 4 in the afternoon please,1
340,i'm trying to make a connection between denver and san francisco does delta airline fly between those two,1
341,is there a flight around 3 pm from charlotte to minneapolis,1
342,flights from long beach to nashville,1
343,what is the cheapest flight from long beach to memphis,1
344,show me all the flights from boston to denver that serve lunch,1
345,what is the latest flight leaving newark for los angeles wednesday,1
346,flight from philadelphia to dallas arriving before 4 pm on saturday,1
347,what is fare code f,1
348,how many fare codes belong to economy class,1
349,show me the cheapest round trip fare from baltimore to dallas,1
350,which northwest flights stop in denver before noon,1
351,what are the most expensive first class tickets between atlanta and dallas,1
352,fly from denver to philadelphia on continental,1
353,give me nonstop flights from new york city to las vegas,1
354,what is the cheapest fare one way between pittsburgh and denver,1
355,list daily flights from oakland to boston using continental airlines,1
356,what is the earliest flight that i can get from bwi to boston logan,1
357,what northwest airline flights leave denver before noon,1
358,list the nonstop flights from denver to washington dc,1
359,i would like a nonstop flight between pittsburgh and philadelphia leaving in the afternoon and arriving in the vicinity of 5 pm,1
360,show me the flights from pittsburgh to baltimore,1
361,do i get a meal on the atlanta to bwi flight eastern 210,1
362,is there an atlanta flight to denver connecting,1
363,what is the cheapest one way ticket from denver to pittsburgh,1
364,i want to go between boston and washington early in the morning,1
365,what are the flights from boston to san francisco,1
366,what's the last flight leaving from pittsburgh to oakland,1
367,all round trip flights between new york and miami that are first class,1
368,show me the flights from boston to pittsburgh on wednesdays and thursdays,1
369,what are the flights on january first 1992 from boston to san francisco,1
370,i'd like to have flight from denver to pittsburgh,1
371,show me all flights arriving to denver from oakland,1
372,give me the flights from milwaukee to st. louis leaving sunday morning,1
373,yes what flights will be used on july seventh in the morning from atlanta to boston,1
374,show me the flights from new york to los angeles with stop in milwaukee,1
375,show me flights from pittsburgh to san francisco,1
376,round trip houston to las vegas nonstop,1
377,what is the earliest flight from ontario to memphis,1
378,what's the lowest round trip fare from dallas to atlanta,1
379,what flights are available from denver to philadelphia on wednesday,1
380,show me airlines going from pittsburgh going to denver and then continuing to san francisco on monday,1
381,please show me all the flights from indianapolis to san diego tomorrow,1
382,all flights and fares from denver to pittsburgh on us air number 1039 on a thursday,1
383,list least expensive flight from dallas to baltimore,1
384,give me the flights from pittsburgh to los angeles thursday evening,1
385,how much is a first class ticket from washington to san francisco leaving on friday,1
386,give me the least expensive first class round trip ticket on us air from cleveland to miami,1
387,okay i need to get a flight from houston to seattle,1
388,what are the flights from kansas city to burbank on saturday may twenty two on southwest,1
389,please list the flight times from newark to boston,1
390,all flights from boston to washington,1
391,show me fares less than 400 dollars for flights from dallas to baltimore,1
392,a first class flight to san francisco on american airlines tuesday next week,1
393,show all flights between san francisco and philadelphia for september fifteenth,1
394,what is the earliest american airlines flight leaving philadelphia for dallas,1
395,i want all flights from atlanta to washington dc on thursday,1
396,what is the earliest flight from boston to philadelphia,1
397,show me the flights from baltimore to atlanta,1
398,i need to fly from washington to san francisco but i'd like to stop over at dallas can you tell me a schedule of flights that will do that,1
399,i would like to know if i fly on american flight number 813 from boston to oakland if i will stop enroute at another city,1
400,is there an airport limousine at the atlanta airport,1
401,please list the morning flights from kansas city to atlanta,1
402,from denver to baltimore,1
403,what's the cheapest one way flight from denver to pittsburgh,1
404,show me one way flights from milwaukee to orlando leaving on wednesday morning,1
405,what are the flights from cleveland to indianapolis on wednesday may twelfth on either twa delta or continental,1
406,how many cities are served by continental with first class flights,1
407,eastern flight 825 from atlanta to denver leaving at 555 what type of aircraft is used on that flight,1
408,show me the flights leaving from love field,1
409,what's the next smallest plane after a turboprop,1
410,give me the flights from baltimore to pittsburgh,1
411,information on american airline flights from washington to philadelphia early morning times of flight,1
412,show me flights from baltimore to philadelphia,1
413,on the flight from baltimore to san francisco on us air leaving at 420 what type of aircraft is used,1
414,i'd like the earliest flight information from boston to san francisco with a meal,1
415,which airlines have first class flights today,1
416,show me ground transportation information for pittsburgh,1
417,i want to fly from detroit to st. petersburg on northwest airlines and leave around 9 am tell me what aircraft are used by this flight and tell me the flight number,1
418,show me all flights that go from new york to miami on tuesday and go from miami to new york on sunday,1
419,information on flights from pittsburgh to philadelphia,1
420,show me all flights from philadelphia to san francisco with one stop in dallas,1
421,show me flights from denver to dc on wednesday,1
422,can you list all round trip flights from orlando to kansas city and then to minneapolis,1
423,show me the flights from love field,1
424,i want a nonstop flight from indianapolis to toronto that leaves thursday morning,1
425,show flights from denver to oakland arriving between 12 and 1 o'clock,1
426,what are the nonstop flights from kansas city to burbank arriving on saturday may twenty two,1
427,show me the cheapest round trip fares from san francisco to salt lake city,1
428,also show me flights from san francisco to pittsburgh on tuesday,1
429,what is the cheapest one way fare from san francisco to boston on wednesday august twenty first,1
430,show me all flights from san francisco to new york nonstop,1
431,we're going from denver to san francisco,1
432,show me the flights from miami to san diego with one stop in denver,1
433,nonstop or connecting flights from seattle to boston,1
434,show me flights from denver to boston on tuesday,1
435,what is the smallest aircraft available to fly on from pittsburgh to baltimore,1
436,show me flights from pittsburgh to dc,1
437,show me all flights from phoenix to milwaukee on wednesday,1
438,what are the flights from las vegas to burbank on saturday may twenty two,1
439,what's the first flight from boston to san francisco,1
440,show me all flights from new york to miami leaving on a tuesday and returning on sunday,1
441,please list all flights between boston and san francisco nonstop,1
442,show me the flights from denver to westchester county,1
443,what is the seating capacity of the various airplanes that united airlines uses,1
444,show me the flights from westchester county to cincinnati,1
445,what is the least expensive one way fare from boston to pittsburgh,1
446,what airlines fly from boston to san francisco,1
447,what does code yn mean,1
448,what flights do you have from baltimore to san francisco,1
449,is there transportation from the atlanta airport to downtown atlanta,1
450,is there a meal on delta flight 852 from san francisco to dallas fort worth,1
451,show me the airfare from pittsburgh to san francisco,1
452,give me flights from pittsburgh to baltimore,1
453,what is the last flight from dallas to boston,1
454,what flights go from philadelphia to san francisco with a stopover in dallas,1
455,please give me ground transportation information for denver,1
456,what ground transport is available in charlotte,1
457,what are the flights available between 10 am and 3 pm between pittsburgh and fort worth,1
458,please tell me the type of aircraft used from atlanta to denver before 12 o'clock noon,1
459,american flights from san francisco please,1
460,show me the flights from philadelphia to atlanta,1
461,display all fare codes,1
462,round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars,1
463,show me the flights next tuesday between philadelphia and san francisco,1
464,i would like to fly to denver for under 500 dollars please show me the airfares between pittsburgh and denver,1
465,what is as,1
466,can you list all the airlines that have flights from boston to san francisco,1
467,how can i get from boston to atlanta and back in the same day and have the most hours on the ground in atlanta,1
468,show me the flights leaving charlotte to atlanta around 7 pm next tuesday,1
469,i now need a flight from san jose to houston leaving on sunday the fourth,1
470,i'd like information on boston to washington,1
471,what ground transportation is available in pittsburgh,1
472,which airlines fly from boston to washington dc,1
473,show me the flights from baltimore to boston,1
474,what flights do you have from boston to pittsburgh on wednesday of next week after 6 pm,1
475,show me the flights out of love field,1
476,i need a flight from newark to los angeles leaving tomorrow evening,1
477,flights from montreal,1
478,what pm flights are available from philadelphia to pittsburgh,1
479,show me flights from denver to philadelphia,1
480,i'd like flight information between boston and washington september third,1
481,i'd like to fly from minneapolis to long beach two days from today in the early morning,1
482,how many fares are there one way from tacoma to montreal,1
483,show me the flights from atlanta to boston,1
484,list all the landings at general mitchell international,1
485,which northwest and united flights go through denver before noon,1
486,round trip fares from baltimore to philadelphia under 1000 dollars,1
487,morning flight from dallas to atlanta,1
488,what is fare code fn,1
489,i would like a flight from pittsburgh to san francisco on august twentieth,1
490,what are my meal options from boston to denver,1
491,i want to fly from miami to chicago on american airlines and arrive at around 5 o'clock in the afternoon show me all flights,1
492,show me all flights from pittsburgh which leave tomorrow and arrive in boston,1
493,flights from indianapolis to seattle,1
494,newark to cleveland,1
495,list flights from boston to san francisco that serve only breakfast,1
496,show me flights from los angeles to pittsburgh for tuesday,1
497,are there any flights from chicago to minneapolis on saturday on continental,1
498,all flights from boston to washington dc after 5 pm on november eleventh economy class,1
499,list all day time flights from pittsburgh to boston,1
500,when are the american flights from phoenix to milwaukee,1
501,give me the flights from washington dc to philadelphia for december second,1
502,boston to denver monday,1
503,show me the flights on delta or twa which go through atlanta,1
504,is there a plane from boston to washington,1
505,what ground transportation is available in san francisco,1
506,show afternoon flights from dallas to san francisco,1
507,shortest evening flight from tampa to cincinnati,1
508,i want to leave chicago next tuesday and arrive in detroit around 6 pm,1
509,all flights from pittsburgh to philadelphia that arrive at 6 o'clock next tuesday,1
510,find the latest flight from san francisco to atlanta that serves a meal,1
511,i would like to book a flight from baltimore to newark early in the morning on april ninth,1
512,flights from newark new jersey to cleveland ohio,1
513,show me the flights from boston to oakland,1
514,how much is the cheapest flight from denver to pittsburgh with a stop in atlanta,1
515,please list the flight times from pittsburgh to newark,1
516,show me the cheapest one way flights from dallas to san francisco leaving dallas after 4 pm,1
517,give me a flight from tampa to charlotte on sunday,1
518,i want a flight from los angeles to charlotte that leaves on a weekday morning,1
519,show me all direct flights from dallas fort worth to either san francisco or oakland,1
520,list types of planes that fly between pittsburgh and baltimore,1
521,please give me flights available from denver to philadelphia,1
522,show me flights leaving from dallas to baltimore,1
523,price of flight from cleveland to nashville,1
524,can you show me flights that are economy class from baltimore to dallas,1
525,what flights from st. paul to kansas city on friday with a meal,1
526,flights from montreal and phoenix to las vegas,1
527,show me the southwest airlines flights from san diego to san francisco,1
528,what are the prices of these flights,1
529,i would like to fly from boston to baltimore please tell me what are the times of the flights,1
530,can i see ground transportation from long beach airport to downtown,1
531,show me flights from atlanta to baltimore,1
532,i want a flight from pittsburgh to los angeles that departs after 6 pm on thursday,1
533,i'd like a first class flight from denver to baltimore on january first,1
534,flight on monday from philadelphia to oakland california early morning,1
535,first class fares from dallas to baltimore please,1
536,i would like information on flights from san francisco to pittsburgh leaving after 8 pm monday night,1
537,show me the price of all flights from atlanta to washington dc,1
538,what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco with a dallas stopover,1
539,on flight us air 2153 from san francisco to baltimore what time and what city does the plane stop in between,1
540,show me all flights out of boston on june twentieth that have business class,1
541,how many flights arrive at general mitchell international,1
542,i'd like to know if you have any flights from denver to philadelphia,1
543,round trip flights from salt lake city to cincinnati nonstop flights if possible,1
544,what flights go from dallas to san francisco before 6 o'clock sunday afternoon,1
545,show me the earliest flight from denver to las vegas,1
546,delta flights from san francisco please,1
547,show me a list of flights from boston to atlanta leaving after noon and arriving before 7 pm,1
548,leaving washington going to san francisco the latest flight,1
549,please give me the cheapest flight from denver to pittsburgh,1
550,i would like information on flights from oakland california to dallas leaving on sunday morning,1
551,what airlines fly from new york to milwaukee to los angeles,1
